ESTABLECIMIENTO,TELEFONO_ESTABLECIMIENTO,DIRECCION_ESTABLECIMIENTO,NOMBRE_ESTABLECIMIENTO,LATITUD_ESTABLECIMIENTO,LONGITUD_ESTABLECIMIENTO,USERNAME_USER_CREADOR,TELEFONO_USER_CREADOR,CORREO_USER_CREADOR,PASSWORD_USER_CREADOR,NOMBRE_USER_CREADOR,TIPONOMBRE_USER_CREADOR,NOMBRE_DIMENSION,NOMBRE_ATRIBUTO,DESCRIPCION_ATRIBUTO,NOMBRE_SERVICIO,DESCRIPCION_SERVICIO,NOMBRE_R_C,SERVICIO_TRC,ESTABLECIMIENTO_TRC,VALOR_RC,COMENTARIO_RC,INICIO_RC,FINAL_RC,USERNAME_USER_TRC,TELEFONO_USER_TRC,CORREO_USER_TRC,PASSWORD_USER_TRC,NOMBRE_USER_TRC,NOMBRE_TIPOUSUARIOTRC
8,78322981,"6a Avenida Norte 2,Antigua Guatemala",Reillys Irish Tavern,14.556458999999998,-90.73524499999999,user1,77777777,user1@correo.com,123,user1,2,,,,Servicio 1,Primer servicio creado,calificacion,5,8,5,Holi,Sat Oct 17 2015 09:18:31 GMT-0600 (CST),,abel,1234,abel,abel,abel,usuario normal
9,78321919,"7a Avenida Sur,Antigua Guatemala",Rainbow Café Antigua Guatemala,14.555271,-90.736346,user2,77777777,user2@correo.com,123,user2,2,,,,,,,,,,,,,,,,,,
10,78824559,"6a Avenida Norte 40,Antigua Guatemala",Luna de Miel,14.560405999999999,-90.735387,user3,77777777,user3@correo.com,123,user3,2,,,,,,,,,,,,,,,,,,
11,78321296,"5a Avenida Norte #29, Arco de Santa Catalina, La Antigua Guatemala,Antigua Guatemala 03-001",Fridas,14.559695999999999,-90.733994,user4,77777777,user4@correo.com,123,user4,2,,,,,,,,,,,,,,,,,,
12,78324228,"5 Avenida Sur 6,Antigua Guatemala",Restaurant Monoloco,14.555924,-90.73414799999999,user5,77777777,user5@correo.com,123,user5,2,,,,,,,,,,,,,,,,,,
13,78329864,"1a Avenida Sur 17A,Antigua Guatemala",La Toscana,14.555254999999999,-90.729427,user6,77777777,user6@correo.com,123,user6,2,,,,,,,,,,,,,,,,,,
14,78325250,"6a Avenida Norte 3,Antigua Guatemala",Casa Escobar Antigua,14.557597,-90.735007,user7,77777777,user7@correo.com,123,user7,2,,,,,,,,,,,,,,,,,,
15,78328270,"4a. Avenida Sur Casa 10,4 Avenida Sur,Antigua Guatemala",Porcinopez,14.554623,-90.733176,user8,77777777,user8@correo.com,123,user8,2,,,,,,,,,,,,,,,,,,
16,78321129,"2da Avenida Sur 10 B,2a Avenida Sur 6,Antigua Guatemala,Casa Santo Tomás", Gastrobar,14.555454999999998,-90.73129399999999,user9,77777777,user9@correo.com,123,user9,2,,,,,,,,,,,,,,,,,,
17,54467775,"7a Avenida Norte 5,Antigua Guatemala",La Casa de las Sopas,14.558724999999999,-90.735822,user10,77777777,user10@correo.com,123,user10,2,,,,,,,,,,,,,,,,,,
18,79521143,"1a Calle 5-34,Cobán, Guatemala",Hotel Alcazar Doña Victoria,15.462503,-90.361081,user11,77777777,user11@correo.com,123,user11,2,,,,,,,,,,,,,,,,,,
19,23794444,"14 CALLE 2-51 ZONA 10, Guatemala, Guatemala.",Hertz Hotel Westin Camino Real,14.598564999999999,-90.51433999999999,user12,77777777,user12@correo.com,123,user12,2,,,,,,,,,,,,,,,,,,
20,24230909,"13 Calle 7-65,Guatemala",Hilton Garden Inn Guatemala City,14.599863,-90.517879,user13,77777777,user13@correo.com,123,user13,2,,,,,,,,,,,,,,,,,,
21,23333000,"14 Calle 0-20,Guatemala",The Westin Camino Real Guatemala Hotel,14.597557,-90.516183,user14,77777777,user14@correo.com,123,user14,2,,,,,,,,,,,,,,,,,,
22,23784000,"7 Avenida, 15-45. Zona 9,Guatemala",Barceló Guatemala City,14.597033,-90.518525,user15,77777777,user15@correo.com,123,user15,2,,,,,,,,,,,,,,,,,,
23,79431054,"2 AVENIDA 11-94 ZONA 1, Esquipulas, Chiquimula",Hotel El Peregrino,14.568332999999999,-89.35515199999999,user16,77777777,user16@correo.com,123,user16,2,,,,,,,,,,,,,,,,,,
24,23145100,"14 Calle 7-88 Zona 10, Guatemala",La Inmaculada Hotel,14.597116999999999,-90.508996,user17,77777777,user17@correo.com,123,user17,2,,,,,,,,,,,,,,,,,,
25,24213333,"14 Calle A,Guatemala",Hotel Clarion Suites Guatemala,14.597631,-90.513402,user18,77777777,user18@correo.com,123,user18,2,,,,,,,,,,,,,,,,,,
26,24100800,"Residenciales San Jorge",Mercure Casa Veranda,14.622682,-90.55388699999999,user19,77777777,user19@correo.com,123,user19,2,,,,,,,,,,,,,,,,,,
27,22208970,"6A Avenida,Guatemala",Hotel Royal Palace,14.636795999999999,-90.514994,user20,77777777,user20@correo.com,123,user20,2,,,,,,,,,,,,,,,,,,
28,24764944,"17 AVENIDA 44-35 LA COLINA ZONA 12,Guatemala",ENAUTO,14.571921999999999,-90.550304,user21,77777777,user21@correo.com,123,user21,2,,,,,,,,,,,,,,,,,,
29,23611393,"Ruta 5. 3-40 Z-4 Guatemala",Radiadores Portocarrero,14.620365,-90.517083,user22,77777777,user22@correo.com,123,user22,2,,,,,,,,,,,,,,,,,,
30,22859999,"7a AVE 2-30 ZONA 4, Guatemala",SIEBOLD REPUESTOS Y SERVICIOS,14.621932999999999,-90.51530699999999,user23,77777777,user23@correo.com,123,user23,2,,,,,,,,,,,,,,,,,,
31,22519327,"Col Las Victorias,Guatemala",Taller mecanico Autoseco,14.645976,-90.499017,user24,77777777,user24@correo.com,123,user24,2,,,,,,,,,,,,,,,,,,
32,24393921,"37 av 0-63 Z. 7, Guatemala",SPC soluciones para carros S.A.,14.632501,-90.567994,user25,77777777,user25@correo.com,123,user25,2,,,,,,,,,,,,,,,,,,
33,24193800,"10 Av A 0-38 Z-7, Guatemala",Auto Color,14.620737,-90.546184,user26,77777777,user26@correo.com,123,user26,2,,,,,,,,,,,,,,,,,,
34,22007800,"20 Calle 15-08 Zona 10,Guatemala",GoAuto,14.588023,-90.505552,user27,77777777,user27@correo.com,123,user27,2,,,,,,,,,,,,,,,,,,
35,23816100,"Calz. Aguilar Batres y 13 C. 4-20 Z.11,13 Calle,Guatemala",Diresa - Remopsa,14.606643,-90.544139,user28,77777777,user28@correo.com,123,user28,2,,,,,,,,,,,,,,,,,,
36,2277-0300,"1 Calle 0-69 zona 9",Excel Automotriz,14.602165,-90.526442,user29,77777777,user29@correo.com,123,user29,2,,,,,,,,,,,,,,,,,,
37,22060200,"4A Avenida 14-65 Guatemala City Guatemala","Automotriz R.A. Nicol, S.A",14.63405,-90.51666,user30,77777777,user30@correo.com,123,user30,2,,,,,,,,,,,,,,,,,,
,,,,,,userito,123,123u,123,u,3,,,,,,,,,,,,,,,,,,
,,,,,,user36,77777777,user36@correo.com,123,user36,3,,,,,,,,,,,,,,,,,,
,,,,,,user37,77777777,user37@correo.com,123,user37,3,,,,,,,,,,,,,,,,,,
,,,,,,user38,77777777,user38@correo.com,123,user38,3,,,,,,,,,,,,,,,,,,
,,,,,,user39,77777777,user39@correo.com,123,user39,3,,,,,,,,,,,,,,,,,,
,,,,,,user40,77777777,user40@correo.com,123,user40,3,,,,,,,,,,,,,,,,,,
45,23422342,Guatemala,Taller Julio,15,79,asdf,1234,asdf,asdf,asdf,3,,,,,,,,,,,,,,,,,,
44,77777777,Guatemala,Restaurante Julio,15,90,asdf,1234,asdf,asdf,asdf,3,,,,,,,,,,,,,,,,,,
,,,,,,administrador,1231,julio,123,julio,1,,,,,,,,,,,,,,,,,,
